Milestone,Epic,Task,Owner,Depends On,Est (days),Status,Acceptance Criteria
M1: API Foundations,Dispatch Service,Define dispatch schema & code map,Backend,—,2,Planned,Schema approved; code map aligned across UI/AI
M1: API Foundations,Crew Service,"Create crew_log endpoints (on-duty, tie-up)",Backend,—,3,Planned,POST/GET pass tests; returns ISO timestamps
M1: API Foundations,Auth Service,Enable JWT + TOTP (mock),Backend,—,2,Planned,Token + role claims verified in UI calls
M2: Sync Engine,Gateway,Build /sync endpoint (aggregates dispatch + crew),Backend,M1,3,Planned,200 OK; merges feeds; returns diff hash
M2: Sync Engine,Frontend,Wire Sync button to /sync; show heartbeat state,Frontend,M2:Gateway,2,Planned,UI shows green/yellow/red; retries on failure
M3: Crew Rotation,Crew Logic,Implement turn-advance on tie-up,Backend,M1:Crew Service,3,Planned,Turn increments correctly; no collisions on load
M3: Crew Rotation,Frontend,Reflect rotation in Crew Lineup instantly,Frontend,M3:Crew Logic,2,Planned,UI updates within <750ms; persists
M4: Taxi Tracker,Taxi Service,Create taxi_tracker feed (region-scoped),Backend,M1,3,Planned,JSON endpoint returns active jobs by region
M4: Taxi Tracker,Frontend,Replace static list with live feed,Frontend,M4:Taxi Service,2,Planned,List refreshes every 60s; manual refresh works
M5: Location,GPS Service,Integrate gps_feed for train location,Backend,M2,3,Planned,Coordinates + CP label; latency <1s
M5: Location,Frontend,Render location + last-updated tooltip,Frontend,M5:GPS Service,2,Planned,UI displays location; staleness warning at 5m
M6: AI Core,AI Module,Implement Crew Shortage Predictor (v1),AI,"M2,M3",4,Planned,Generates alerts with precision ≥0.7 on test set
M6: AI Core,AI Module,Implement Delay Estimator (v1),AI,"M2,M5",4,Planned,MAE ≤ 8 minutes on validation set
M6: AI Core,Frontend,Surface AI summary & per-train suggestions,Frontend,M6,2,Planned,Cards render; links to affected trains
M7: Compliance,Rules Engine,Add FRA rest check + warnings,Backend,M3,3,Planned,Violations detected; false positive rate <5%
M7: Compliance,Frontend,Highlight non-compliant crews & export report,Frontend,M7:Rules,2,Planned,CSV export; badges on Crew Lineup rows
M8: Security,Auth Service,Role-based permissions on edit/write ops,Backend,M1:Auth,2,Planned,EN/CO limited; Admin full; audit log created
M8: Security,Frontend,Hide/disable UI on insufficient role,Frontend,M8:Auth,1,Planned,Controls hidden; API calls blocked by 403
M9: Monitoring,Observability,Prometheus metrics + Grafana dashboards,DevOps,M2,3,Planned,"Dashboards show latency, error rate, AI jobs/min"
M9: Monitoring,Observability,Heartbeat + alerting (Slack webhook),DevOps,M9:Metrics,2,Planned,"Alerts on 5xx>1%, sync drift >2s/hr"
M10: Performance,Perf Harness,Load test 1k trains / 800 crew,QA,"M2,M3",3,Planned,"Latency: UI<1.5s, updates<0.75s; pass"
M10: Performance,Perf Harness,AI throughput test (≥60 jobs/min),QA,M6,2,Planned,≥60 jobs/min sustained; queue depth <20
M11: Staging,Release,K8s staging deploy; config env vars,DevOps,M1..M10,2,Planned,Green build; smoke tests pass
M12: Production,Release,Rolling prod deploy + runbook,DevOps,M11,2,Planned,Zero-downtime rollout; rollback plan verified
